Time,Participants,Winner
2026-03-14T11:12:55.757128,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T11:17:55.757128,"['Mr. Max', 'Lemuel']",LLMPlayer('Lemuel')
2026-03-14T11:35:05.620823,"['Mr. Max', 'Lemuel']",LLMPlayer('Lemuel')
2026-03-14T13:06:09.496161,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T13:41:30.249654,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T13:46:40.118886,"['Mr. Max', 'Lemuel']",LLMPlayer('Lemuel')
2026-03-14T14:27:34.810384,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T14:31:56.651924,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T14:35:51.357995,"['Mr. Max', 'Lemuel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T14:50:15.022490,"['Mr. Max', 'Lemuel']",LLMPlayer('Lemuel')
2026-03-14T15:00:15.007179,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T15:14:56.066380,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-14T15:34:18.026168,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T04:58:21.543164,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T05:14:01.904093,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T05:45:03.585509,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T05:50:16.116177,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T06:28:23.534457,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T06:33:36.391216,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T06:43:17.206802,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T06:48:20.319206,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T06:52:53.859613,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T06:56:38.659338,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T07:02:55.154315,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T07:25:16.952649,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
2026-03-15T07:41:57.440048,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T08:00:18.264255,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T08:11:31.355046,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T08:17:33.084629,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T08:27:47.773334,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T10:55:20.230860,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T18:01:19.771656,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T18:06:56.919993,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T18:12:04.375279,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T18:21:35.381042,"['Mr. Max', 'Lionel']",MaxEVandLLMPlayer('Mr. Max')
2026-03-15T18:31:37.320184,"['Mr. Max', 'Lionel']",LLMPlayer('Lionel')
